iter	Logloss
0	0.626960186
1	0.5680838368
2	0.519168016
3	0.4784190295
4	0.4435205235
5	0.415413708
6	0.3914051728
7	0.3683104775
8	0.349803916
9	0.3324120798
10	0.3180041432
11	0.3066145976
12	0.295951183
13	0.2862963606
14	0.2776904696
15	0.2700948026
16	0.2636001884
17	0.2580051398
18	0.2515237433
19	0.2465645758
20	0.2421953271
21	0.2364420188
22	0.2325582165
23	0.2283864135
24	0.225391869
25	0.2226586605
26	0.2201283602
27	0.2171122389
28	0.214578588
29	0.2124484734
30	0.2102097242
31	0.2076926806
32	0.2054741588
33	0.2036984705
34	0.2020992069
35	0.2003000032
36	0.1987239036
37	0.1974132014
38	0.1959939993
39	0.1945418658
40	0.1932154155
41	0.1919489623
42	0.1909112061
43	0.1897889429
44	0.1886750269
45	0.1876396693
46	0.1865541086
47	0.1851629186
48	0.1840858294
49	0.1829866943
50	0.1822094582
51	0.1817232031
52	0.1805220337
53	0.1796427784
54	0.1789233801
55	0.1780694503
56	0.1773207303
57	0.1765622509
58	0.1760184522
59	0.1753726884
60	0.174517903
61	0.1740033907
62	0.1733926661
63	0.1726268669
64	0.1719690649
65	0.170992375
66	0.1703061194
67	0.1696133065
68	0.1690326287
69	0.1685913386
70	0.1682443486
71	0.1675795188
72	0.1668727062
73	0.1661414916
74	0.1657237219
75	0.1652188213
76	0.1649134911
77	0.1646278073
78	0.1642021278
79	0.1635917895
80	0.1631035166
81	0.1626464322
82	0.1622253506
83	0.1616157988
84	0.1612142424
85	0.1607178738
86	0.1602572155
87	0.1599919182
88	0.1594474843
89	0.1591504068
90	0.1587171764
91	0.1583787305
92	0.1579208535
93	0.1576867142
94	0.1574986132
95	0.1570880988
96	0.1567911421
97	0.1563953617
98	0.1560523511
99	0.155847622
100	0.1555585321
101	0.1552421187
102	0.1549523057
103	0.1547424755
104	0.1545088482
105	0.1543344803
106	0.1538976428
107	0.1535161268
108	0.1531093096
109	0.1528010729
110	0.1525647188
111	0.152374864
112	0.1518909026
113	0.1515378221
114	0.1512969967
115	0.1509678374
116	0.1505883969
117	0.1501923467
118	0.149692882
119	0.149424405
120	0.149127622
121	0.1488991961
122	0.1485303765
123	0.1481552673
124	0.1477504338
125	0.1474203092
126	0.1471970974
127	0.1471266283
128	0.1468746972
129	0.146602612
130	0.1463706875
131	0.1460704597
132	0.1458193695
133	0.1455610733
134	0.1452378219
135	0.1448206095
136	0.1445229508
137	0.1443305407
138	0.1439837322
139	0.1437894206
140	0.1434639768
141	0.1431439095
142	0.1428811828
143	0.1427159589
144	0.142508728
145	0.142236613
146	0.1420486031
147	0.1418205071
148	0.1415803183
149	0.1412309037
150	0.1411190476
151	0.140799474
152	0.1405560873
153	0.1403385858
154	0.1401459434
155	0.1398367667
156	0.1395485494
157	0.1392390472
158	0.138925631
159	0.1387988073
160	0.1384421301
161	0.1383674617
162	0.1382694006
163	0.1380019757
164	0.1376371834
165	0.1374100562
166	0.1371121243
167	0.1369109995
168	0.136440457
169	0.1361968312
170	0.1359334365
171	0.1356951243
172	0.1355824175
173	0.1355445876
174	0.1354221813
175	0.135201139
176	0.1349253484
177	0.1345634266
178	0.1342280138
179	0.1339996681
180	0.133734769
181	0.1335047732
182	0.1331720149
183	0.1330755156
184	0.1328241014
185	0.1324669981
186	0.1322115271
187	0.1320168441
188	0.1318109784
189	0.1315654902
190	0.1313177408
191	0.1311236806
192	0.1308866072
193	0.1307737033
194	0.1304554693
195	0.1301887838
196	0.1298930525
197	0.1295766978
198	0.1294359132
199	0.1291365482
200	0.1288592892
201	0.1286030948
202	0.1283792215
203	0.1280455909
204	0.1278949325
205	0.127799619
206	0.1275403434
207	0.1273095293
