iter	Passed	Remaining
0	247	247690
1	288	144004
2	321	106745
3	348	86889
4	374	74534
5	400	66299
6	424	60147
7	453	56231
8	476	52482
9	504	49906
10	529	47602
11	555	45771
12	584	44377
13	608	42875
14	635	41763
15	658	40505
16	698	40361
17	737	40225
18	816	42161
19	908	44506
20	965	45011
21	999	44434
22	1027	43660
23	1052	42810
24	1082	42236
25	1105	41415
26	1131	40786
27	1155	40104
28	1181	39575
29	1204	38961
30	1233	38553
31	1255	37983
32	1283	37613
33	1310	37238
34	1338	36898
35	1366	36596
36	1393	36269
37	1416	35870
38	1440	35487
39	1464	35142
40	1487	34787
41	1516	34584
42	1539	34263
43	1564	33981
44	1587	33697
45	1617	33536
46	1644	33340
47	1667	33065
48	1692	32849
49	1716	32606
50	1736	32321
51	1757	32045
52	1782	31845
53	1806	31643
54	1830	31443
55	1854	31256
56	1876	31037
57	1896	30796
58	1922	30664
59	1943	30440
60	1965	30259
61	1989	30094
62	2009	29893
63	2033	29747
64	2059	29624
65	2082	29475
66	2108	29360
67	2131	29208
68	2158	29119
69	2179	28957
70	2205	28859
71	2229	28732
72	2256	28652
73	2280	28534
74	2307	28455
75	2333	28370
76	2360	28296
77	2385	28193
78	2408	28078
79	2434	27995
80	2459	27902
81	2487	27852
82	2510	27738
83	2537	27668
84	2559	27551
85	2584	27472
86	2609	27387
87	2636	27327
88	2665	27287
89	2690	27201
90	2720	27174
91	2742	27065
92	2772	27035
93	2797	26962
94	2820	26868
95	2847	26812
96	2873	26746
97	2899	26689
98	2923	26609
99	2948	26534
100	2970	26439
101	2998	26400
102	3023	26330
103	3050	26282
104	3072	26186
105	3098	26131
106	3121	26053
107	3149	26011
108	3172	25935
109	3204	25925
110	3229	25866
111	3252	25789
112	3279	25744
113	3305	25691
114	3334	25664
115	3359	25601
116	3384	25544
117	3410	25495
118	3434	25425
119	3459	25368
120	3485	25320
121	3510	25266
122	3535	25206
123	3561	25162
124	3585	25095
125	3611	25049
126	3634	24981
127	3657	24915
128	3681	24858
129	3707	24812
130	3731	24755
131	3760	24725
132	3782	24658
133	3804	24590
134	3833	24562
135	3860	24526
136	3883	24460
137	3910	24424
138	3935	24374
139	3960	24326
140	3984	24272
141	4009	24228
142	4039	24208
143	4061	24145
144	4086	24095
145	4111	24048
146	4133	23983
147	4161	23954
148	4185	23903
149	4205	23833
150	4225	23759
151	4249	23707
152	4272	23655
153	4293	23587
154	4316	23533
155	4343	23498
156	4365	23441
157	4389	23393
158	4411	23332
159	4432	23268
160	4459	23237
161	4480	23174
162	4502	23118
163	4525	23069
164	4550	23027
165	4576	22990
166	4604	22965
167	4627	22918
168	4654	22884
169	4675	22828
170	4703	22803
171	4726	22754
172	4754	22726
173	4775	22667
174	4800	22629
175	4826	22596
176	4853	22567
177	4879	22532
178	4906	22502
179	4930	22462
180	4956	22429
181	4980	22385
182	5004	22344
183	5031	22314
184	5054	22265
185	5079	22228
186	5104	22193
187	5133	22171
188	5158	22133
189	5185	22107
190	5206	22053
191	5233	22024
192	5256	21980
193	5283	21953
194	5314	21940
195	5338	21896
196	5366	21874
197	5391	21838
198	5416	21800
199	5443	21773
200	5467	21734
201	5493	21701
202	5519	21669
203	5546	21642
204	5568	21595
205	5594	21562
206	5620	21531
207	5650	21516
208	5680	21498
209	5704	21459
210	5732	21436
211	5762	21418
212	5784	21374
213	5808	21335
214	5834	21303
215	5858	21265
216	5883	21230
217	5912	21207
218	5934	21163
219	5958	21126
220	5981	21085
221	6010	21062
222	6034	21024
223	6063	21004
224	6087	20969
225	6112	20933
226	6139	20905
227	6164	20873
228	6192	20848
229	6215	20807
230	6242	20781
231	6265	20742
232	6295	20723
233	6323	20700
234	6346	20660
235	6373	20633
236	6394	20586
237	6422	20562
238	6445	20523
239	6472	20496
240	6494	20453
241	6519	20421
242	6544	20388
243	6573	20368
244	6596	20329
245	6623	20301
246	6645	20260
247	6670	20225
248	6692	20184
249	6714	20142
250	6737	20105
251	6758	20062
252	6781	20023
253	6802	19978
254	6825	19939
255	6848	19902
256	6869	19861
257	6891	19820
258	6916	19787
259	6937	19746
260	6959	19705
261	6982	19667
262	7008	19638
263	7031	19603
264	7055	19567
265	7078	19533
266	7104	19504
267	7133	19482
268	7156	19446
269	7182	19419
270	7205	19383
271	7231	19353
272	7255	19320
273	7287	19309
274	7314	19284
275	7339	19251
276	7366	19227
277	7388	19189
278	7416	19165
279	7440	19132
280	7465	19102
281	7488	19066
282	7513	19035
283	7538	19004
284	7568	18986
285	7592	18954
286	7617	18924
287	7639	18885
288	7667	18863
289	7694	18837
290	7719	18807
291	7746	18782
292	7772	18753
293	7800	18731
294	7825	18700
295	7850	18672
296	7878	18649
297	7903	18617
298	7930	18593
299	7952	18556
300	7979	18531
301	8001	18493
302	8030	18472
303	8056	18445
304	8081	18414
305	8109	18393
306	8134	18361
307	8164	18342
308	8192	18320
309	8214	18282
310	8241	18259
311	8265	18227
312	8296	18208
313	8317	18172
314	8343	18142
315	8366	18110
316	8394	18086
317	8417	18051
318	8442	18023
319	8463	17984
320	8488	17955
321	8512	17924
322	8538	17895
323	8561	17862
324	8588	17836
325	8611	17803
326	8636	17773
327	8661	17744
328	8684	17713
329	8711	17687
330	8736	17657
331	8759	17624
332	8783	17592
333	8813	17573
334	8838	17545
335	8861	17512
336	8888	17486
337	8914	17460
338	8938	17427
339	8961	17395
340	8986	17366
341	9010	17335
342	9038	17312
343	9059	17276
344	9084	17246
345	9105	17211
346	9130	17183
347	9159	17159
348	9183	17130
349	9204	17094
350	9225	17057
351	9249	17027
352	9270	16991
353	9294	16960
354	9316	16928
355	9338	16893
356	9360	16860
357	9380	16822
358	9402	16787
359	9425	16756
360	9448	16723
361	9471	16692
362	9498	16667
363	9519	16632
364	9544	16605
365	9570	16577
366	9596	16551
367	9619	16520
368	9642	16488
369	9670	16465
370	9697	16441
371	9720	16409
372	9746	16383
373	9775	16362
374	9798	16330
375	9823	16303
376	9848	16274
377	9871	16243
378	9899	16220
379	9920	16186
380	9945	16158
381	9966	16124
382	9995	16102
383	10016	16067
384	10038	16035
385	10063	16007
386	10086	15977
387	10110	15947
388	10133	15917
389	10160	15892
390	10183	15860
391	10210	15836
392	10233	15806
393	10262	15784
394	10294	15766
395	10315	15733
396	10342	15708
397	10364	15677
398	10390	15651
399	10414	15622
400	10440	15595
401	10462	15563
402	10485	15533
403	10509	15504
404	10539	15483
405	10562	15452
406	10585	15423
407	10610	15395
408	10635	15368
409	10658	15337
410	10690	15320
411	10716	15293
412	10742	15267
413	10768	15241
414	10791	15212
415	10816	15184
416	10845	15163
417	10869	15134
418	10892	15103
419	10917	15076
420	10943	15050
421	10968	15022
422	10992	14993
423	11016	14965
424	11040	14937
425	11067	14912
426	11090	14882
427	11117	14858
428	11140	14828
429	11164	14799
430	11188	14770
431	11210	14739
432	11234	14711
433	11261	14686
434	11287	14660
435	11313	14634
436	11335	14603
437	11361	14577
438	11384	14548
439	11408	14520
440	11432	14491
441	11453	14459
442	11482	14437
443	11504	14407
444	11534	14385
445	11559	14359
446	11582	14329
447	11603	14296
448	11623	14263
449	11643	14231
450	11666	14202
451	11687	14170
452	11712	14142
453	11734	14112
454	11753	14078
455	11777	14050
456	11800	14020
457	11825	13994
458	11849	13966
459	11869	13933
460	11893	13906
461	11915	13875
462	11936	13843
463	11963	13819
464	11986	13791
465	12010	13763
466	12032	13733
467	12056	13705
468	12081	13678
469	12108	13654
470	12132	13626
471	12156	13598
472	12179	13569
473	12209	13548
474	12238	13527
475	12264	13501
476	12290	13476
477	12313	13447
478	12340	13422
479	12363	13393
480	12393	13372
481	12420	13347
482	12443	13319
483	12469	13293
484	12492	13265
485	12519	13240
486	12543	13213
487	12569	13187
488	12593	13159
489	12619	13134
490	12643	13107
491	12672	13084
492	12696	13057
493	12721	13030
494	12743	13000
495	12769	12975
496	12793	12948
497	12820	12923
498	12842	12893
499	12870	12870
500	12891	12840
501	12917	12814
502	12940	12786
503	12969	12764
504	12993	12736
505	13019	12710
506	13041	12681
507	13068	12657
508	13091	12628
509	13117	12603
510	13140	12575
511	13209	12590
512	13273	12600
513	13351	12624
514	13373	12594
515	13398	12567
516	13422	12539
517	13442	12508
518	13471	12484
519	13495	12457
520	13524	12434
521	13550	12408
522	13571	12377
523	13596	12350
524	13620	12323
525	13644	12295
526	13666	12266
527	13694	12241
528	13720	12215
529	13747	12191
530	13770	12162
531	13798	12138
532	13827	12115
533	13850	12086
534	13888	12071
535	13932	12061
536	13976	12050
537	14015	12035
538	14047	12015
539	14070	11985
540	14097	11961
541	14119	11931
542	14144	11903
543	14166	11874
544	14187	11844
545	14212	11818
546	14235	11788
547	14260	11762
548	14280	11731
549	14302	11702
550	14325	11673
551	14349	11646
552	14369	11615
553	14392	11586
554	14415	11558
555	14436	11528
556	14464	11504
557	14489	11477
558	14513	11449
559	14533	11419
560	14571	11402
561	14596	11375
562	14622	11349
563	14644	11321
564	14672	11296
565	14696	11268
566	14721	11242
567	14761	11227
568	14794	11206
569	14840	11195
570	14896	11191
571	14961	11195
572	15023	11195
573	15090	11199
574	15169	11212
575	15244	11221
576	15313	11226
577	15371	11222
578	15421	11213
579	15446	11185
580	15475	11160
581	15503	11134
582	15529	11107
583	15556	11081
584	15585	11056
585	15610	11028
586	15638	11002
587	15665	10976
588	15689	10948
589	15716	10921
590	15743	10894
591	15769	10868
592	15796	10842
593	15822	10814
594	15849	10788
595	15873	10760
596	15898	10732
597	15921	10702
598	15948	10676
599	15970	10646
600	15992	10617
601	16020	10591
602	16042	10561
603	16069	10535
604	16091	10505
605	16116	10478
606	16138	10448
607	16166	10423
608	16189	10394
609	16218	10369
610	16245	10342
611	16269	10314
612	16299	10290
613	16321	10260
614	16348	10234
615	16372	10206
616	16397	10178
617	16421	10150
618	16449	10124
619	16471	10095
620	16502	10071
621	16526	10043
622	16550	10015
623	16577	9988
624	16600	9960
625	16621	9930
626	16644	9901
627	16666	9872
628	16687	9843
629	16712	9815
630	16736	9787
631	16761	9759
632	16782	9729
633	16803	9700
634	16827	9672
